setup,metric,nli,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,realsumm,sum-system,43.41236994007941,-9.340702084468408,0.5309584244634032,0.8399139166386826,0.761460059919473
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,realsumm,sum-system,52.05189513165131,-3.879155855794305,0.5309584244634032,0.8399139166386826,0.8073323467577619
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,realsumm,sum-system,58.81986923579584,0.3992741070367183,0.5309584244634032,0.8399139166386826,0.8432674754292189
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,realsumm,sum-system,62.53249000971377,2.7462375728148003,0.5309584244634032,0.8399139166386826,0.8629799481967145
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,realsumm,sum-system,62.34915360860168,2.630339973366949,0.5309584244634032,0.8399139166386826,0.8620065081299019
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,realsumm,sum-summary,1.6926175569705215,12.80693722112882,0.582589639366533,0.5251899116152723,0.5924506538875421
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,realsumm,sum-summary,4.26210738455821,15.657255018373336,0.582589639366533,0.5251899116152723,0.607420235407645
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,realsumm,sum-summary,3.292387659573471,14.581551444540557,0.582589639366533,0.5251899116152723,0.6017707487589903
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,realsumm,sum-summary,0.7115847030998518,11.71868406945382,0.582589639366533,0.5251899116152723,0.5867352581221098
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,realsumm,sum-summary,-1.2113874503723667,9.585543983122644,0.582589639366533,0.5251899116152723,0.5755322215880772
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,realsumm,sum-summary,-5.073550817075325,5.301272116471882,0.582589639366533,0.5251899116152723,0.553031657958256
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,realsumm,sum-summary,-6.758187047968524,3.4325164672985875,0.582589639366533,0.5251899116152723,0.5432171418160574
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,realsumm,sum-summary,-8.284619006545498,1.7392557541789595,0.582589639366533,0.5251899116152723,0.5343243073734083
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,realsumm,sum-summary,-9.812560129913166,0.0443209346994993,0.582589639366533,0.5251899116152723,0.5254226806930477
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,realsumm,sum-system,11.116457326544946,-10.812537122233913,0.6871432684440233,0.8560948276993455,0.7635292566528293
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,realsumm,sum-system,20.44593521997428,-3.3242452588251994,0.6871432684440233,0.8560948276993455,0.8276361359785023
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,realsumm,sum-system,27.38277764254949,2.2436012234846867,0.6871432684440233,0.8560948276993455,0.8753021817277972
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,realsumm,sum-system,31.726397075850983,5.730001044748372,0.6871432684440233,0.8560948276993455,0.9051490702705548
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.5,realsumm,sum-system,33.68534630190988,7.302348792167225,0.6871432684440233,0.8560948276993455,0.9186098580096548
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.6,realsumm,sum-system,33.729469400336,7.337764132951241,0.6871432684440233,0.8560948276993455,0.9189130469103188
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.7,realsumm,sum-system,32.40491349812585,6.274611264328669,0.6871432684440233,0.8560948276993455,0.9098114501915038
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.8,realsumm,sum-system,30.20365915554092,4.507777667511732,0.6871432684440233,0.8560948276993455,0.8946856791550997
ref,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.9,realsumm,sum-system,27.508070138864248,2.3441670634402865,0.6871432684440233,0.8560948276993455,0.8761631206820895
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,realsumm,sum-summary,1.1282914724902515,20.557283112262336,0.582589639366533,0.4886995902507953,0.5891629485871173
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,realsumm,sum-summary,1.7014576681587592,21.24056726860926,0.582589639366533,0.4886995902507953,0.5925021554594333
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,realsumm,sum-summary,1.991780740443022,21.58666785341858,0.582589639366533,0.4886995902507953,0.594193547599252
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,realsumm,sum-summary,1.916137214050644,21.496491524973667,0.582589639366533,0.4886995902507953,0.5937528562516385
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,realsumm,sum-summary,2.839266425135957,22.5969743674064,0.582589639366533,0.4886995902507953,0.5991309113933876
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,realsumm,sum-summary,0.9330713400745,20.32455685504814,0.582589639366533,0.4886995902507953,0.5880256163217055
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,realsumm,sum-summary,0.4807608394718064,19.78534745793653,0.582589639366533,0.4886995902507953,0.5853905022074273
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,realsumm,sum-summary,-1.2919220940496083,17.672092747775114,0.582589639366533,0.4886995902507953,0.5750630350979128
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,realsumm,sum-summary,-4.115579435466445,14.305948095624938,0.582589639366533,0.4886995902507953,0.5586126999756058
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.1,realsumm,sum-system,6.319677835965604,-13.01864455289308,0.6871432684440233,0.8399139166386826,0.7305685092812099
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.2,realsumm,sum-system,12.702164848323877,-7.797058269354879,0.6871432684440233,0.8399139166386826,0.7744253391459438
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.3,realsumm,sum-system,18.843400360510792,-2.772842622331662,0.6871432684440233,0.8399139166386826,0.81662442556723
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.4,realsumm,sum-system,24.32477804803687,1.711535723078102,0.6871432684440233,0.8399139166386826,0.8542893433650581
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.5,realsumm,sum-system,28.64633182676369,5.247048743453984,0.6871432684440233,0.8399139166386826,0.8839846092477678
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.6,realsumm,sum-system,31.31441079229401,7.429834936803766,0.6871432684440233,0.8399139166386826,0.9023181342561803
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.7,realsumm,sum-system,31.97134065615512,7.967276839896077,0.6871432684440233,0.8399139166386826,0.9068321835941004
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.8,realsumm,sum-system,30.513355360118872,6.774482242955671,0.6871432684440233,0.8399139166386826,0.8968137357774837
ref,BARTScore_bart-large-cnn+para_bi,NLI2Score_monolingual,0.9,realsumm,sum-system,27.12897048272907,4.005677916401605,0.6871432684440233,0.8399139166386826,0.8735581629142621
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,realsumm,sum-summary,1.2316136515767615,10.595708449815708,0.5737708631781988,0.5251899116152723,0.5808375034578713
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,realsumm,sum-summary,0.6196484541276948,9.927135440681846,0.5737708631781988,0.5251899116152723,0.5773262254621176
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,realsumm,sum-summary,0.6610070737555133,9.972319802298252,0.5737708631781988,0.5251899116152723,0.5775635291709548
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,realsumm,sum-summary,-2.1011811488468988,6.954624515903962,0.5737708631781988,0.5251899116152723,0.5617148979635224
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,realsumm,sum-summary,-6.279691726903691,2.389594670229444,0.5737708631781988,0.5251899116152723,0.5377398217518136
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,realsumm,sum-summary,-7.176724788681381,1.409584539089293,0.5737708631781988,0.5251899116152723,0.5325929074102579
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,realsumm,sum-summary,-8.71553660709874,-0.2715699648245763,0.5737708631781988,0.5251899116152723,0.5237636535570365
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,realsumm,sum-summary,-10.289042944740997,-1.9906282894382703,0.5737708631781988,0.5251899116152723,0.5147353326613828
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,realsumm,sum-summary,-8.750636881880373,-0.3099170741536737,0.5737708631781988,0.5251899116152723,0.523562258407444
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.1,realsumm,sum-system,55.7032766709074,-30.839027301162226,0.3802640013239589,0.8560948276993455,0.5920835100613067
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.2,realsumm,sum-system,102.89468109518332,-9.877339770940912,0.3802640013239589,0.8560948276993455,0.77153543280603
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.3,realsumm,sum-system,131.90898544392903,3.0103627478738906,0.3802640013239589,0.8560948276993455,0.8818663874788818
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.4,realsumm,sum-system,144.06408417434108,8.409468466262284,0.3802640013239589,0.8560948276993455,0.9280878522760244
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.5,realsumm,sum-system,146.06019974408056,9.296111942072155,0.3802640013239589,0.8560948276993455,0.9356783612125664
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.6,realsumm,sum-system,143.34550951666594,8.090288784600313,0.3802640013239589,0.8560948276993455,0.925355371530249
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.7,realsumm,sum-system,138.88856379992788,6.110582848886265,0.3802640013239589,0.8560948276993455,0.9084072114109442
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.8,realsumm,sum-system,134.05200987689275,3.962260854773789,0.3802640013239589,0.8560948276993455,0.8900155379370198
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI1Score_monolingual,0.9,realsumm,sum-system,129.39904570503978,1.8954865714145963,0.3802640013239589,0.8560948276993455,0.8723219901969615
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.1,realsumm,sum-summary,-0.6142457953503033,16.68651072196261,0.5737708631781988,0.4886995902507953,0.5702464997761816
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.2,realsumm,sum-summary,-0.8586768094814166,16.39952993302117,0.5737708631781988,0.4886995902507953,0.5688440258365263
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.3,realsumm,sum-summary,0.647123802804785,18.16745553460051,0.5737708631781988,0.4886995902507953,0.5774838710073834
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.4,realsumm,sum-summary,1.9669497812846672,19.717032628636517,0.5737708631781988,0.4886995902507953,0.5850566479165575
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.5,realsumm,sum-summary,3.811545344828664,21.88272953082988,0.5737708631781988,0.4886995902507953,0.5956403998036507
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.6,realsumm,sum-summary,2.430223537469772,20.26095160928825,0.5737708631781988,0.4886995902507953,0.5877147777462989
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.7,realsumm,sum-summary,0.2786332050954765,17.734819263691794,0.5737708631781988,0.4886995902507953,0.5753695793241762
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.8,realsumm,sum-summary,0.0996220964726186,17.524646469684924,0.5737708631781988,0.4886995902507953,0.574342465741046
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.9,realsumm,sum-summary,-8.04921985656778,7.957279984071014,0.5737708631781988,0.4886995902507953,0.5275867849280589
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.1,realsumm,sum-system,29.8379261416096,-41.21696481015395,0.3802640013239589,0.8399139166386826,0.4937268931821311
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.2,realsumm,sum-system,60.79033080899956,-27.20352246058113,0.3802640013239589,0.8399139166386826,0.611427745676332
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.3,realsumm,sum-system,89.51572071190002,-14.198342420485702,0.3802640013239589,0.8399139166386826,0.7206600627170097
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.4,realsumm,sum-system,112.31953381693162,-3.874106751828033,0.3802640013239589,0.8399139166386826,0.8073747548846402
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.5,realsumm,sum-system,126.98899431031674,2.767368801764968,0.3802640013239589,0.8399139166386826,0.8631574323294238
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.6,realsumm,sum-system,133.7497822718113,5.828259008977396,0.3802640013239589,0.8399139166386826,0.8888662751528316
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.7,realsumm,sum-system,134.51674932276077,6.175496926935527,0.3802640013239589,0.8399139166386826,0.8917827747496083
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.8,realsumm,sum-system,131.5417744740219,4.828601944712934,0.3802640013239589,0.8399139166386826,0.8804700163514126
ref,BERTScore_roberta-large_L17_idf_version=0.3.11(hug_trans=4.17.0),NLI2Score_monolingual,0.9,realsumm,sum-system,126.60921280581748,2.59542590182152,0.3802640013239589,0.8399139166386826,0.8617132599841266
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.1,realsumm,sum-summary,0.9359340434087408,12.392450940186714,0.5848004670974267,0.5251899116152723,0.5902738137550049
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.2,realsumm,sum-summary,1.155321023724318,12.636738969576031,0.5848004670974267,0.5251899116152723,0.5915567898406413
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.3,realsumm,sum-summary,1.1463331495190987,12.626730945969369,0.5848004670974267,0.5251899116152723,0.5915042287103071
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.4,realsumm,sum-summary,-0.5928726557816061,10.690120312702913,0.5848004670974267,0.5251899116152723,0.581333345037123
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.5,realsumm,sum-summary,-3.2294565720235835,7.754276589015066,0.5848004670974267,0.5251899116152723,0.5659145899795243
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.6,realsumm,sum-summary,-3.888934484558733,7.019946049220713,0.5848004670974267,0.5251899116152723,0.5620579600666143
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.7,realsumm,sum-summary,-8.110721743106003,2.318973874810397,0.5848004670974267,0.5251899116152723,0.5373689284587703
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.8,realsumm,sum-summary,-9.274396756574944,1.0232184225907548,0.5848004670974267,0.5251899116152723,0.5305637515445079
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.9,realsumm,sum-summary,-9.680686002863506,0.5708141860442907,0.5848004670974267,0.5251899116152723,0.5281877701344457
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.1,realsumm,sum-system,28.04219856802916,-25.130317782538764,0.5005814365473278,0.8560948276993455,0.6409554769786223
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.2,realsumm,sum-system,52.93415142196687,-10.57533028006956,0.5005814365473278,0.8560948276993455,0.7655599721595473
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.3,realsumm,sum-system,71.22792068070073,0.1215236187118411,0.5005814365473278,0.8560948276993455,0.8571351851135707
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.4,realsumm,sum-system,81.76894605232586,6.285141774647076,0.5005814365473278,0.8560948276993455,0.90990160134567
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.5,realsumm,sum-system,85.806771037358,8.646165537593971,0.5005814365473278,0.8560948276993455,0.9301142036610108
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.6,realsumm,sum-system,85.53999951570422,8.490177126942973,0.5005814365473278,0.8560948276993455,0.9287787949456172
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.7,realsumm,sum-system,82.89656488766684,6.944490526922278,0.5005814365473278,0.8560948276993455,0.9155462519103982
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.8,realsumm,sum-system,79.16173918659666,4.760638511696488,0.5005814365473278,0.8560948276993455,0.8968504077634423
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI1Score_monolingual,0.9,realsumm,sum-system,75.07455194531248,2.370751323406552,0.5005814365473278,0.8560948276993455,0.8763907071566428
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.1,realsumm,sum-summary,0.0178687057382036,19.68599422640833,0.5848004670974267,0.4886995902507953,0.584904963372048
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.2,realsumm,sum-summary,1.0722538428569643,20.947720106659627,0.5848004670974267,0.4886995902507953,0.5910710125789244
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.3,realsumm,sum-summary,1.1000113418857154,20.98093601009253,0.5848004670974267,0.4886995902507953,0.5912333385628991
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.4,realsumm,sum-summary,0.170150667913611,19.86822184514848,0.5848004670974267,0.4886995902507953,0.5857955089981549
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.5,realsumm,sum-summary,-1.9118792435650651,17.376768835910845,0.5848004670974267,0.4886995902507953,0.5736197883507195
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.6,realsumm,sum-summary,-1.4527880983082415,17.92613847227314,0.5848004670974267,0.4886995902507953,0.5763045555125843
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.7,realsumm,sum-summary,-3.3833555011499685,15.615932485880728,0.5848004670974267,0.4886995902507953,0.5650145883231352
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.8,realsumm,sum-summary,-3.781112420067152,15.13995821331252,0.5848004670974267,0.4886995902507953,0.5626885040033952
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.9,realsumm,sum-summary,-3.710094352440029,15.224941708181802,0.5848004670974267,0.4886995902507953,0.5631038179946022
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.1,realsumm,sum-system,14.629602997899145,-31.68174713763816,0.5005814365473278,0.8399139166386826,0.5738145133953823
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.2,realsumm,sum-system,29.839401928469456,-22.61683840421589,0.5005814365473278,0.8399139166386826,0.6499519433779912
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.3,realsumm,sum-system,44.70206063549293,-13.758822244358626,0.5005814365473278,0.8399139166386826,0.7243516538427358
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.4,realsumm,sum-system,57.95344867861873,-5.8611094770541925,0.5005814365473278,0.8399139166386826,0.7906856424714758
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.5,realsumm,sum-system,68.28024880139077,0.2935741613384171,0.5005814365473278,0.8399139166386826,0.8423796868754193
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.6,realsumm,sum-system,74.7722478257573,4.16274948193171,0.5005814365473278,0.8399139166386826,0.8748774288522317
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.7,realsumm,sum-system,77.26080017833753,5.645905180271848,0.5005814365473278,0.8399139166386826,0.8873346599680102
ref,MoverScore_bert_mnli_1-gram_idf(True),NLI2Score_monolingual,0.8,realsumm,sum-system,76.29511381044368,5.07036444958715,0.5005814365473278,0.8399139166386826,0.8825006132750655
